rin,eng
Nagtatago iya.,She was hiding.
"Si Nana Kuring, su paraaling ni mama niya, naturakan iya sadto dating zaguan sadto sirong ku lumang baloy.","Nana Kuring, her mother's yaya, found her in what was once the zaguan under the old house."
"Na nguwan bodega na ku ngamin na bagay na pinaglumaan, pinaglingawan, o ka para myentras diri na kaipuwan.","Which now served as the bodega for all the things unwanted, forgotten, or not needed for the time being."
Aros nakatalbong sadto kangitngitan su sadit na igin na babayi.,The little girl was almost buried in the dark.
"Natatawban ku mga lumang isinaray, utak na katre, kawoy na ruweda sa kareta.","Hidden by old junk, a metal bed, a wooden carriage wheel."
Mga sako sa diri pa namumulinong paroy.,Sacks of the unmilled paroy.
Ag pinalilibutan iya sa alumuom na parong ku sementadong ringring.,And surrounded by the musty smell of concrete walls.
Ag ku matam-is na parong ku kopra.,And the sweetness of copra.
La niyang ati sa kasusuksok sadto pigtataguan niya.,She was filthy from burrowing into the dust of her hiding place.
Ag sadto lalawgon niya a ating an kinuritan na ku mga itinurong luwa niya.,And in her face that filth was streaked by tearstains.
"Igin, uno piggigibo mo sadi?","Igin, what are you doing here?"
"Unga ni Nana Kuring, nangalas, ku su liwanag ku apon na naglagbas sadto bukas na pirtan nasilawan kin sari su igin na babayi nagtatago.","Nana Kuring asked, surprised, as the afternoon light that filtered through the open door illuminated where the little girl was hiding."
Nagsilong sana kanya su igin.,The child only looked back at her.
Pa'la mas sinuksok sadto kangitngitan.,And then huddled deeper into the dark.
"Ku narungog nirang darwa su magaan na lakang sadto kawoy na salog sadto itaas, sigeng balik-balik, sigeng balik-balik, bagana agko pig-aanap.","When both of them heard the light footsteps on the wooden floorboards above, coming and going, coming and going, as if searching."
Usad na pirtan su nagsarado pa'la tuninong na utro.,A door closed and there was silence once more.
Bagana pati 'ding pinsan mo mata pa man ata dapat pariyo kamong turog para sa syesta.,It seems even your cousin is awake when both of you should be asleep for siesta.
Paangos na sabi ni Nana Kuring.,Nana Kuring sighed.
Nanuog su igin.,The child stiffened.
Uno yan?,What is it?
"Unga ni Nana Kuring, narisa su alarma ku igin, na nagrarani paiyan kanya.","Nana Kuring asked, noting the child's alarm, moving towards her."
Pig-akoy niya su nakasuksok na awak para gakuson pero nagbulagting su igin ag rinnayo.,She drew the huddled body into an embrace but the child flinched and pulled away
Sinilngan ni Nana Kuring su diri nagkikimat-kimat na tiurong kanya pa'la pakauban-uban luway na nagsabing.,Nana Kuring looked at her unblinking stare and after a time gently said.
Pwede mong sabiyon kanako.,You can tell me.
Binukasan ku igin su nganga niya pero uda ngangabilon na nag-abot kanya ag uda man nangga'd nasayod.,The child opened her mouth but no words came to her and none came out.
Nabayad ni Nana Kuring na piggukpan ku igin su nganga niya ag tinulon su mga luwa niya.,Nana Kuring watched the child close her mouth and swallow her tears.
"Mayang na, igin.","Come, child."
Luway niya 'ding pig-alok na magsunod.,She softly bade her to follow with a nod of her head.
Maan na diri niya 'di makaputan.,Careful that she wouldn't touch her.
Maan na nagbuwat su igin ag likay na nagsunod kanya paluwas sadto bodega.,The child gingerly stood up and warily followed her out of the bodega.
Paiyan sadto liwanang ku apon.,Into the afternoon light.
Sadto kuru-kusina su baloy-baloy na kaabay ku kabaluyan.,And through the dirty-kitchen-a hut beside the main house.
Kin sari su mga gurang na babayi gigirison a ngamin sadto maabang lamesa.,Where the old women chopped everything on a long wooden table.
Ag magluluto sadto pugon na piggatungan sa irutong.,And cooked in a kiln banked by dried wood.
Pinasunod iya ku gurang na babayi sadto bumba'an kaabay kadi.,The old woman led her to the deep-well pump beside it.
Su igin punok na nag-ulat labing pig-aalsa ni Nana Kuring su planggana na bagana tamanyo sa saparilya sa soft drink.,The child waited silently as Nana Kuring lifted the tin basin that was shaped like a soft drink bottle crown.
Ag puno sa lalaban 'nganing maisuno 'di sa payo kadi labing nakaukrong ta pigpupurot su palo-palo.,And filled with laundry to hoist it on top of her head while bending to pick up the palo-palo.
Nagrawat nang mag-agi su gurang na babayi parani sadto trangkahan paluwas sadto tinampo.,The old woman began walking towards the gate that led to the road.
